,Hotel Name,Final Price,Ratings,Ratings Count,Ratings Summary,Wizard Member,Original Price,Location,City
467,Flagship Delightful Stay Em Byepass Near Birla Mandir,984,4.0,1897,Very Good,WIZARD MEMBER,2989,"Uttar Panchanna Gram, Kolkata",Kolkata
468,Flagship Sonar Bangla Guest House Near Acropolis Mall,599,4.8,592,Excellent,WIZARD MEMBER,2565,"Near G S T Bhawan, Kolkata",Kolkata
469,Flagship Hotel New Aamaze Inn Near Acropolis Mall,626,3.6,236,Good,WIZARD MEMBER,1967,"Near Vivanta Hotel, Kolkata",Kolkata
470,Flagship Fantasy Near City Centre Salt Lake,846,4.0,199,Very Good,NON WIZARD MEMBER,2417,"Salt Lake, Kolkata",Kolkata
471,Super OYO Capital O Krish Residency,1199,4.0,1212,Very Good,NON WIZARD MEMBER,6031,"Near Action Area I, New Town Bus Stand DLF1, Kolkata, West Bengal",Kolkata
472,Super OYO Townhouse 726 Hotel All In One Near City Centre Salt Lake,1878,5.0,3051,Fabulous,NON WIZARD MEMBER,5365,DL-34 Karunamoyee Near Anandalok Hospital Bidhannagar Saltlake,Kolkata
473,Super OYO Capital O Hotel Hiland International Near Acropolis Mall,1304,4.4,1729,Very Good,NON WIZARD MEMBER,3725,"Near Acropolis Mall, Rajdanga Main Road, Kolkata",Kolkata
474,Flagship Swastik Inn Near South City Mall,549,2.4,30,Fair,NON WIZARD MEMBER,2937,"Poddar Nagar, Kolkata",Kolkata
475,Collection O 74257 Gokul Residency,1056,4.9,5627,Fabulous,NON WIZARD MEMBER,3017,"Near Emami City, Nagerbazar, Dum Dum, Kolkata",Kolkata
476,OYO Flagship 809125 Hotel Om Shanti Inn,549,3.7952136752136747,1015,Very Good,WIZARD MEMBER,2912,"EM Bypass, Kolkata",Kolkata
477,Townhouse Oak Hotel Lake View Royal Near Science City,1470,4.2,850,Very Good,NON WIZARD MEMBER,4343,"East Topsia Road, Kolkata",Kolkata
478,Flagship Santoshi Banquet And Marriage Hall Near St. Thomas's Church,701,2.3,47,Fair,NON WIZARD MEMBER,2328,"Kulia, Kolkata",Kolkata
479,Flagship Royal Plaza Near Acropolis Mall,1025,4.3,2017,Very Good,WIZARD MEMBER,2928,"Near GST Bhawan, Ruby, Acropolis Mall",Kolkata
480,SPOT ON Silver Green Near Netaji Subhash Chandra Bose International Airport,500,5.0,3193,Fabulous,NON WIZARD MEMBER,1945,"Mondal Ganthi Road, Kaikhali, VIP Road Kolkata 700052, West Bengal",Kolkata
481,OYO SilverKey Park Circus Near Birla Mandir,982,4.5,2329,Excellent,WIZARD MEMBER,3196,"Near S S Chatterjee Heart centre, Park Circus, Kolkata",Kolkata
482,OYO Flagship 809966 Hotel Divira Inn,599,3.7952136752136747,1015,Very Good,WIZARD MEMBER,3591,"New Town, Kolkata",Kolkata
483,OYO Ankan Regency Near Acropolis Mall,649,4.5,421,Excellent,WIZARD MEMBER,2499,"595, Rajdanga main road, Near KMDA office Kolkata, 700107",Kolkata
484,OYO Townhouse Hotel Gokul Regency Near Dum Dum Metro Station,948,4.1,4275,Very Good,NON WIZARD MEMBER,3385,"Opposite ILS Hospital, Nagerbazar, Kolkata.",Kolkata
485,OYO Townhouse 229 Hotel Mannat International Near Science City Topsia,1199,4.8,5935,Excellent,WIZARD MEMBER,4002,"Near Bypass Connector, Kolkata",Kolkata
486,OYO Flagship 3127 Sammy Hospitality,599,3.7952136752136747,1015,Very Good,WIZARD MEMBER,2332,"Salt Lake, Kolkata",Kolkata
487,Flagship Delightful Stay Em Byepass Near Birla Mandir,984,4.0,1897,Very Good,WIZARD MEMBER,2989,"Uttar Panchanna Gram, Kolkata",Kolkata
488,Flagship Sonar Bangla Guest House Near Acropolis Mall,599,4.8,592,Excellent,WIZARD MEMBER,2565,"Near G S T Bhawan, Kolkata",Kolkata
489,Flagship Hotel New Aamaze Inn Near Acropolis Mall,626,3.6,236,Good,WIZARD MEMBER,1967,"Near Vivanta Hotel, Kolkata",Kolkata
490,Flagship Fantasy Near City Centre Salt Lake,846,4.0,199,Very Good,NON WIZARD MEMBER,2417,"Salt Lake, Kolkata",Kolkata
491,Super OYO Capital O Krish Residency,1199,4.0,1212,Very Good,NON WIZARD MEMBER,6031,"Near Action Area I, New Town Bus Stand DLF1, Kolkata, West Bengal",Kolkata
492,Super OYO Townhouse 726 Hotel All In One Near City Centre Salt Lake,1878,5.0,3051,Fabulous,NON WIZARD MEMBER,5365,DL-34 Karunamoyee Near Anandalok Hospital Bidhannagar Saltlake,Kolkata
493,Super OYO Capital O Hotel Hiland International Near Acropolis Mall,1304,4.4,1729,Very Good,NON WIZARD MEMBER,3725,"Near Acropolis Mall, Rajdanga Main Road, Kolkata",Kolkata
494,Flagship Swastik Inn Near South City Mall,549,2.4,30,Fair,NON WIZARD MEMBER,2937,"Poddar Nagar, Kolkata",Kolkata
495,Collection O 74257 Gokul Residency,1056,4.9,5627,Fabulous,NON WIZARD MEMBER,3017,"Near Emami City, Nagerbazar, Dum Dum, Kolkata",Kolkata
496,OYO Flagship 809125 Hotel Om Shanti Inn,549,3.7952136752136747,1015,Very Good,WIZARD MEMBER,2912,"EM Bypass, Kolkata",Kolkata
497,Townhouse Oak Hotel Lake View Royal Near Science City,1470,4.2,850,Very Good,NON WIZARD MEMBER,4343,"East Topsia Road, Kolkata",Kolkata
498,Flagship Santoshi Banquet And Marriage Hall Near St. Thomas's Church,701,2.3,47,Fair,NON WIZARD MEMBER,2328,"Kulia, Kolkata",Kolkata
499,Flagship Royal Plaza Near Acropolis Mall,1025,4.3,2017,Very Good,WIZARD MEMBER,2928,"Near GST Bhawan, Ruby, Acropolis Mall",Kolkata
500,SPOT ON Petals Residency Near City Centre Salt Lake,616,3.4,975,Fair,NON WIZARD MEMBER,2138,"Near PVR Diamond Plaza, Kidwai Road, Kolkata",Kolkata
501,Super OYO Capital O Hotel New All In One Near City Centre Salt Lake,1547,4.8,689,Excellent,NON WIZARD MEMBER,4421,"CK-69, CK Block, Saltlake, Sector 2, Kolkata, West Bengal, 700091",Kolkata
502,Collection O Premium Hotel Near RDB Cinemas,1076,4.9,746,Fabulous,WIZARD MEMBER,3074,"1/B/24, AL BLOCK, STREET NO.22,NEW TOWN, RAJARHAT, KOLKATA",Kolkata
503,Flagship Binayak Banquet & Ac Guest House Near Acropolis Mall,399,3.3,369,Fair,WIZARD MEMBER,1930,"Behind Binayak Marriage Hall Beside Sayambor Hall, Kolkata",Kolkata
504,Townhouse OAK Kzar Corporate Hotel Near St. Thomas's Church,1910,4.7,649,Excellent,NON WIZARD MEMBER,7032,"Sealdah - Entally, Kolkata",Kolkata
505,Flagship Mourigram Near Andul Rd,1076,4.1,7115,Very Good,WIZARD MEMBER,3074,"Howrah, Kolkata",Kolkata
506,OYO Hotel Homely Raj Near Kalighat Kali Temple,1084,4.2,1903,Very Good,WIZARD MEMBER,3097,"Manoharpukur Road, Kolkata",Kolkata
507,OYO 809839 Smriti Villa Residency,930,5.0,13,Fabulous,NON WIZARD MEMBER,2658,"Sector III, Kolkata",Kolkata
508,Collection O Bricks Inn Hazra Road Near Birla Mandir,1257,4.3,1110,Very Good,WIZARD MEMBER,3591,"Opposite Hotel Swagath, Kolkata",Kolkata
509,OYO G R Hospitality,717,4.1,779,Very Good,NON WIZARD MEMBER,2501,"VIP Road Baguihati Kolkata Airport Near Ladies Hostel, Narayantala",Kolkata
510,Collection O Hotel Comfort N Cozy Near Rdb Cinemas,626,3.9,74,Good,NON WIZARD MEMBER,1789,"Action Area I, Kolkata",Kolkata
511,Super OYO Collection O Ketan Regency Near Acropolis Mall,1283,4.5,1627,Excellent,WIZARD MEMBER,3667,953 Purbachal Road adapt House Prince Park Kalikapur (in lane between Tata chroma showroom & Yamaha Moters Showroom,Kolkata
512,Capital O Kabita Guest House Near Acropolis Mall,631,4.0,830,Very Good,NON WIZARD MEMBER,2208,Mukundapur Main Road Seven Maddox Square Multi cuisine Restaurant Kolkata EM Bye Pass Opposite Dr. Devi Shetty Hospital,Kolkata
513,OYO Trisha Guest House,891,4.4,1414,Very Good,NON WIZARD MEMBER,2545,"Behind New Life Nurshing Home, Oppssite Arati cinema, Sahabagan, Kolkata",Kolkata
514,OYO Townhouse 143 Hotel Royal Garden Near park Street Mullick bazar crossing,1641,4.7,7775,Excellent,NON WIZARD MEMBER,4688,"Near Jameson Inn, Park St, Kolkata",Kolkata
515,Super OYO Townhouse 727 Hotel The Platinum,1666,4.3,1766,Very Good,NON WIZARD MEMBER,4761,"Sector-1, Kolkata",Kolkata
516,Collection O Hotel Hamza International Near Howrah Bridge,2117,4.2,1991,Very Good,WIZARD MEMBER,6048,"Near College Street, MG Road, Kolkata",Kolkata
517,Super OYO Townhouse 1050 Centre Point Inn Near Indian Museum,2759,4.6,1528,Excellent,NON WIZARD MEMBER,7884,"Beside K C Das Sweet Esplanade Post Office, Kolkata",Kolkata
518,Flagship 78811 Royal Palace,928,4.3,1840,Very Good,WIZARD MEMBER,2652,"Near Acropolis Mall, Purba Abasan, Kolkata",Kolkata
519,OYO A Retro Near Rdb Cinemas,626,3.0,209,Fair,WIZARD MEMBER,3435,"Near Tank N0.3, New Town, Rajarhat, Kolkata",Kolkata
520,OYO 61457 Pinnacle Auberge,626,2.9,177,Fair,WIZARD MEMBER,2499,Chinar Park Kolkata International Airport Beside Spencers Rajarhat Main Road,Kolkata
521,OYO Kuber Residency Near Birla Mandir,949,3.5,1337,Good,WIZARD MEMBER,2051,"Near Tagore Park, Kasba, Kolkata",Kolkata
522,Dream Palace Near Acropolis Mall,989,4.2,774,Very Good,WIZARD MEMBER,2825,"Near Acropolis Mall, Rene Tower, Garden High school Kasba",Kolkata
523,Super OYO Flagship Airport Comfort Stay Near Noapara Metro Station,1154,4.9,2053,Fabulous,NON WIZARD MEMBER,3297,"Near Opposite To Hotel Moon Light, Bediapara, Kolkata",Kolkata
524,Flagship Apan Guest House Near Acropolis Mall,626,3.3,244,Fair,NON WIZARD MEMBER,1999,"Near Mukundapur  Bus Stop R.N Tagore Institute of Cardiac Sciences, Narayana Health, Kolkata",Kolkata
525,Flagship Dreamy Sunrise By Stayapart Near City Centre Salt Lake,626,1.5,18,Fair,NON WIZARD MEMBER,3437,"Sector F East Kolkata, Kolkata",Kolkata
526,OYO 2872 Hotel City Of Joy,878,4.2,616,Very Good,NON WIZARD MEMBER,2509,"Salt Lake, Kolkata",Kolkata
527,OYO Green Leaf Hospitality Near City Centre Salt Lake,1066,4.0,1045,Very Good,NON WIZARD MEMBER,3045,FD 390 SECTOR 3 SALT LAKE CENTRAL PARK MANI SQUARE CITY CENTRE 1,Kolkata
528,Flagship Rajarhat,634,4.4,194,Very Good,WIZARD MEMBER,2440,"Near Chinar Park , Rajarhat, Kolkata",Kolkata
529,OYO Townhouse 567 MB International,1455,3.8,1892,Good,WIZARD MEMBER,4157,"Beniapukur, Kolkata",Kolkata
530,Flagship The Paradise Inn Near Mani Square,599,2.0,23,Fair,WIZARD MEMBER,3008,"Sector Iii, Kolkata",Kolkata
531,OYO Flagship 10246 New Silver Inn,858,3.0,5,Fair,NON WIZARD MEMBER,2452,"Near Tagore Park, Tijala, Kolkata",Kolkata
532,OYO Jalan Lake View Near Mani Square,806,3.3,458,Fair,NON WIZARD MEMBER,2302,"Near Beliaghata lake side club, Phool Bagan, Kolkata",Kolkata
533,OYO Flagship Maple The Residence Near RDB Cinemas,1051,4.1,533,Very Good,NON WIZARD MEMBER,3002,"Near Coal India East Enclave DLF 1 New Town Action Area 1, Mohisgota Box Bridge, Kolkata Punjab National Bank",Kolkata
534,"Super OYO Flagship 74334 Hotel Marina Near Cit road ladies park, Park Circus",1655,4.8,2977,Excellent,NON WIZARD MEMBER,4728,"Near Ladies Park, Beniapukur, Kolkata",Kolkata
535,Flagship Relax View Dumdum Park Near City Centre Salt Lake,621,2.4,93,Fair,NON WIZARD MEMBER,2716,"Dum Dum Park, Kolkata",Kolkata
536,Collection O Hotel Green Leaf Near Acropolis Mall,1109,4.1,1268,Very Good,NON WIZARD MEMBER,3169,"Kasba, Kolkata",Kolkata
537,Flagship Majestic Inn Near Bidhanagar Station,975,3.3,794,Fair,NON WIZARD MEMBER,2825,"South Dumdum, Kolkata",Kolkata
538,Super OYO Flagship Hotel Radha Kanhaiya Near City Centre Salt Lake,1687,4.6,279,Excellent,NON WIZARD MEMBER,4821,"Sector V Kolkata West Bengal, Kolkata",Kolkata
539,Flagship The Nest Inn Near Acropolis Mall,986,4.5,275,Excellent,NON WIZARD MEMBER,2818,"Near Raj Market, Kolkata",Kolkata
540,Collection O 810477 Gariahat Inn,1317,3.7952136752136747,1015,Very Good,NON WIZARD MEMBER,4179,"Hindustan Park, Kolkata",Kolkata
541,Collection O Amishat Residency Near Rdb Cinemas,899,3.2,136,Fair,NON WIZARD MEMBER,1987,"Behind Aahirini Market, Newtown, Kolkata",Kolkata
542,OYO 700842 Smriti Villa Classic,944,3.5,33,Good,WIZARD MEMBER,2698,"IB-66, Saltlake Sec-III, Near Amri Hospital, Smart Bazaar, Saltlake Stadium, Kolkata, India",Kolkata
543,OYO 701972 Flagship Shree Corporate  Near TCS Gitabitan,705,4.1,159,Very Good,WIZARD MEMBER,2237,"Sector V, Kolkata",Kolkata
544,Collection O Church View Near St. Thomas's Church,1729,4.3,868,Very Good,NON WIZARD MEMBER,4939,"Near Brand Factory, AJC Bose Road, Maula Ali, Kolkata",Kolkata
545,Super OYO Townhouse 209 Habitat New Town,2036,4.5,2286,Excellent,NON WIZARD MEMBER,5818,"Action Area I, Kolkata",Kolkata
546,OYO Starlight Guest House Near Birla Mandir,641,3.5,736,Good,WIZARD MEMBER,2186,"Shantipally Near Acropolis Mall, Kolkata",Kolkata
547,OYO SilverKey Deshapriya Park Near Kalighat Kali Temple,1868,4.6,1307,Excellent,WIZARD MEMBER,5337,"Near EDEN GROUP BUILDING, Manoharpukur, Kolkata",Kolkata
548,Townhouse OAK Hotel 1 Lovelock,2293,4.2,1331,Very Good,NON WIZARD MEMBER,6813,"Ballygunge, Kolkata",Kolkata
549,Super OYO Collection O De Sivalika Boutique Near Dakshineswar Kali Temple,2025,4.0,661,Very Good,NON WIZARD MEMBER,5787,"Grand Trunk Road, Belur Math,Kolkata",Kolkata
550,OYO Royal Regency Near Acropolis Mall,1199,4.3,1200,Very Good,WIZARD MEMBER,2374,"Rajdanga Main Road, Kolkata",Kolkata
551,OYO Fantasy Stay Near City Centre Salt Lake,809,3.7,808,Good,WIZARD MEMBER,2316,"Near Sector 1, Bidhan Nagar, Kolkata",Kolkata
552,OYO 82103 Luxury Inn Tollygunge,930,2.9,345,Fair,NON WIZARD MEMBER,2951,"Tollygunge, Kolkata",Kolkata
553,Super OYO Flagship Adri Hotels 2 Near Dum Dum Metro Station,1458,4.6,2140,Excellent,NON WIZARD MEMBER,4165,"Near ILS Hospitals Dum Dum Nagerbazar Opposite Bhutan House, Kolkata",Kolkata
554,Super OYO Dk Inn Near Kalighat Kali Temple,1591,4.3,2042,Very Good,NON WIZARD MEMBER,4547,"Near Deshapriya Park, Kalighat, Kolkata",Kolkata
555,OYO Hotel Maruti Lodging,855,3.9,373,Good,NON WIZARD MEMBER,2499,"Above Reliance Trends, Raghunathpur, Kolkata",Kolkata
556,OYO Silver Inn Near Birla Mandir,846,3.4,706,Fair,NON WIZARD MEMBER,2417,"Near Acropolis Mall, Kashba, Kolkata",Kolkata
557,OYO Flagship 76140 H B Guest House,615,2.4,16,Fair,NON WIZARD MEMBER,1951,"Near Ruby Hospital, Kolkata",Kolkata
558,Collection O The Coco Inn Near South City Mall,1108,3.8,57,Good,NON WIZARD MEMBER,3229,"Near 13C Bus Stand, Regent Estate, Kolkata",Kolkata
559,OYO Townhouse 696 Hotel Mayfair Tower Near Acropolis Mall,1398,4.2,1164,Very Good,NON WIZARD MEMBER,3994,"Hussainpur, Kolkata",Kolkata
560,Townhouse OAK 92847 Hotel Glorious Palace Near Birla Mandir,2211,3.9,184,Good,NON WIZARD MEMBER,6317,"Near Topsia More, beside Roshan Garden & Orchid Banquet, Science City area, Kolkata",Kolkata
561,Super OYO Townhouse OAK Shubhham Regency Near City Centre Salt Lake,2339,4.9,911,Fabulous,NON WIZARD MEMBER,6682,"Bidhannagar, Kolkata",Kolkata
562,Sashi Guest House Near City Centre Salt Lake,899,4.1,14,Very Good,NON WIZARD MEMBER,2568,"Bidhan Nagar, Kolkata",Kolkata
563,Flagship Metro Inn Near City Centre Salt Lake,1051,4.1,90,Very Good,NON WIZARD MEMBER,3002,"Near Saltlake Sec V Metro, Kolkata",Kolkata
564,Super OYO Sagorika Inn,1022,5.0,626,Fabulous,NON WIZARD MEMBER,2919,Chinarpark Amenia; Arsalan,Kolkata
565,OYO Flagship 809529 Titanic Guest House,564,3.7952136752136747,1015,Very Good,NON WIZARD MEMBER,1789,"Near Bidhanagar Party Office, Kolkata",Kolkata
566,Collection O Kyd Guest House Near Indian Museum,2082,3.3,153,Fair,NON WIZARD MEMBER,5949,"700001, Kolkata",Kolkata
567,Super OYO Townhouse 75779 The Royal Retreat,1988,4.6,4930,Excellent,NON WIZARD MEMBER,5679,"Kolkata International Airport, Belghoria Express Way Noapara & Baranagar Metro Station",Kolkata
568,Super OYO Flagship 89087 Brill Rooms Saltlake City Centre,1241,3.6,517,Good,NON WIZARD MEMBER,3547,"Saltlake, Kolkata",Kolkata
569,Flagship Kalikapur Inn Near Acropolis Mall,626,2.3,10,Fair,NON WIZARD MEMBER,1789,"611-A,KALIKAPUR ROAD, KOLKATA 700078",Kolkata
570,OYO Townhouse 444 Heera Holiday Inn Near St. Thomas's Church,1910,3.3,33,Fair,NON WIZARD MEMBER,6500,"51,Elliot Road Park Street Near Assembly Of God Church Adjacent 144668:1076985",Kolkata
571,Super OYO Flagship Adri Hotels Near Dum Dum Metro Station,1462,4.4,1435,Very Good,NON WIZARD MEMBER,4178,"Near Sarojini Naidu College for Women, Golpark, Dumdum Kolkata",Kolkata
572,OYO Avenue Inn Near Birla Mandir,1342,4.2,448,Very Good,NON WIZARD MEMBER,3834,"Near By Land Mark Shyam Sundar Jewellers, Kolkata",Kolkata
573,OYO Rooms 91148 Hotel Stay Inn,1119,4.3,577,Very Good,NON WIZARD MEMBER,3198,"Action Area I, Kolkata",Kolkata
574,Collection O Revaa Near City Centre Salt Lake,1798,4.6,743,Excellent,NON WIZARD MEMBER,5137,"Bidhannagar, Kolkata",Kolkata
575,Super OYO Townhouse 1069 Aadorlys Near City Centre Salt Lake,2288,4.6,599,Excellent,NON WIZARD MEMBER,6538,"Near Saltlake Karunamoyee More, Kolkata",Kolkata
576,Super OYO Capital O 700752 Hotel Dak Plaza,1495,4.2,607,Very Good,NON WIZARD MEMBER,4272,"Near Axis Mall, CE Block, Newtown, Kolkata 700156",Kolkata
577,OYO Flagship Hotel Bypass Inn Near Birla Mandir,796,3.9,279,Good,WIZARD MEMBER,2275,"Netaji Nagar, VIP Nagar, Near Netaji Sporting Club, EM Bypass ",Kolkata
578,OYO Townhouse 095 Akash Ganga Park Circus Near Birla Mandir,2032,3.9,1441,Good,NON WIZARD MEMBER,5807,"Beniapukur, Kolkata",Kolkata
579,Collection O Aafreen Tower Near St. Thomas's Church,2247,4.1,1645,Very Good,WIZARD MEMBER,6419,"Esplanade, Kolkata",Kolkata
580,OYO Maa Tara Guest House Near Acropolis Mall,675,2.3,245,Fair,NON WIZARD MEMBER,2646,"Near R.N.Tagore Hospital, Nitainagar, Kolkata",Kolkata
581,Townhouse OAK Kzar Select Near St. Thomas's Church,2118,4.2,438,Very Good,WIZARD MEMBER,6051,"700017, Kolkata",Kolkata
582,Flagship 701201 The Buddha Guest House,896,2.5,62,Fair,WIZARD MEMBER,2716,"Near Vidyasagar Hospital, Kolkata",Kolkata
583,OYO Hotel Regency Near Acropolis Mall,1412,4.2,868,Very Good,NON WIZARD MEMBER,4034,", Kolkata",Kolkata
584,Collection O Hotel Paradise,1021,4.3,532,Very Good,WIZARD MEMBER,3355,"Kolkata West Bengal Kolkata, Kolkata",Kolkata
585,Flagship 3675 Kalighat,1458,3.8,1340,Good,NON WIZARD MEMBER,4165,"Near Raja Santosh Road, Alipore, Kolkata",Kolkata
586,OYO Ma Kali Guest House Near City Centre Salt Lake,949,2.9,168,Fair,WIZARD MEMBER,2499,"Near FD Block, Bidhannagar, Kolkata",Kolkata
587,OYO The Olive Near City Centre Salt Lake,1289,3.5,528,Good,NON WIZARD MEMBER,3684,"Near Bus Stand, Anandaloke Hospital, Cl Block, Kolkata",Kolkata
588,Capital O Hotel Gardenia Near Birla Mandir,1670,3.7,745,Good,NON WIZARD MEMBER,4771,"Near Laxminarayan Temple, Sarat Bose Road, Kolkata",Kolkata
589,Flagship Hotel Red Rose Near Noapara Metro Station,669,3.3,144,Fair,NON WIZARD MEMBER,2716,"Dum Dum, Kolkata",Kolkata
590,SPOT ON Maa Rakhakali Bhawan Near Victoria Memorial,1087,3.9,54,Good,WIZARD MEMBER,3449,"Near Shalimar Railway , Howrah 3, Kolkata",Kolkata
591,OYO Hotel Nest Near St. Thomas's Church,1252,3.7,666,Good,NON WIZARD MEMBER,3577,"Near Bata More, Royd Street, Kolkata",Kolkata
592,OYO Padmavati Projects Pvt Ltd Near Netaji Subhash Chandra Bose International Airport,873,3.5,468,Good,WIZARD MEMBER,2499,"Biswa Bangla Sarani Behind Binany Building, Chinar Park, Beside NPG Hotel, Nibedita Apartment , Kolkata 700157",Kolkata
593,Flagship Nayak Palace Inn Near Birla Mandir,1233,3.7,131,Good,NON WIZARD MEMBER,3522,"Ballygunge, Kolkata",Kolkata
594,OYO Hotel Padmavati Near Netaji Subhash Chandra Bose International Airport,989,4.0,370,Very Good,WIZARD MEMBER,2827,"Biswa Bangla Sarani Behind Binany Building, Chinar Park, Beside NPG Hotel, Nibedita Apartment , Kolkata 700157",Kolkata
595,Flagship Amaris Stay Hub VIP Bazar Near Science City,1363,3.4,477,Fair,NON WIZARD MEMBER,4084,"171D/1F/2, 49 Picnic Garden Road, VIP Bazar, Off EM Bypass, Near Science City",Kolkata
596,OYO Townhouse 424 Beck Bagan Ballygunge Near Birla Mandir,1772,3.6,372,Good,WIZARD MEMBER,5064,"Near Quest Mall, Karaya Road, Kolkata",Kolkata
597,OYO Abi's Inn Near Birla Mandir,1360,3.5,1259,Good,NON WIZARD MEMBER,3887,"Near Amri Hospital, South End Park Road, Kolkata",Kolkata
598,OYO Flagship Transit Express - Kalikapur,1334,3.7952136752136747,1015,Very Good,NON WIZARD MEMBER,3812,"Jadavpur, Kolkata",Kolkata
599,Collection O 810536 Aqua Tulip New,1874,3.7952136752136747,1015,Very Good,NON WIZARD MEMBER,5949,"Tiljala Road, Kolkata",Kolkata
600,OYO Flagship 75581 Hotel Shanavi Chinar Park,928,2.6,242,Fair,NON WIZARD MEMBER,2716,"29/2 Sayan Abasan, Nishi Kanan, Beside AR Motors, Chinar Park, Kolkata",Kolkata
601,Flagship 701333 Shree International,1120,4.0,563,Very Good,WIZARD MEMBER,3199,"Action Area I, Kolkata",Kolkata
602,Townhouse OAK Hotel Tahoura International Near St. Thomas's Church,2211,3.7,117,Good,NON WIZARD MEMBER,6733,"Repon Street, Kolkata",Kolkata
603,OYO Townhouse 92944 Hotel Pan Asia International Near Kalighat Kali Temple,1675,3.2,137,Fair,NON WIZARD MEMBER,4787,"Jatin Das Road, Kolkata",Kolkata
604,OYO Comfort Stays,1041,3.7,207,Good,NON WIZARD MEMBER,3707,"Rajarhat, Kolkata",Kolkata
605,Collection O 808564 R S Hotels,984,3.7952136752136747,1015,Very Good,NON WIZARD MEMBER,2811,"Action Area 1, Kolkata",Kolkata
606,Flagship 81224 Hotel Eden,1097,4.0,417,Very Good,NON WIZARD MEMBER,3135,"Rajarhat, Kolkata",Kolkata
607,OYO Flagship 808170 New Town Rooms,844,3.3,18,Fair,NON WIZARD MEMBER,2412,"Newtownnull, Kolkata",Kolkata
608,OYO Flagship 810398 Hotel Airport Heaven,722,3.7952136752136747,1015,Very Good,NON WIZARD MEMBER,2064,"Kaikhali, Kolkata",Kolkata
609, Collection O 80911 Spacetel,1658,3.9,59,Good,WIZARD MEMBER,4737,"Sector 3, Kolkata",Kolkata
610,Collection O Bangur Inn VIP Rd. Near City Centre Salt Lake,1445,2.8,29,Fair,NON WIZARD MEMBER,4128,"288/2 Bangur Avenue Block B, Near Bangur Swimming Pool Jessore Road Diamond Plaza Mall Nagerbazar ",Kolkata
611,Capital O Hotel Heritage,1679,3.7,721,Good,NON WIZARD MEMBER,4797,"Teghoria, VIP Road, Kolkata Raghunathpur, Kolkata Airport Haldiram",Kolkata
612,Collection O 76651 Dovers Inn,1767,3.1,307,Fair,WIZARD MEMBER,5049,"Opp Gariahat Police Station, Kolkata",Kolkata
613,Flagship Divya Jyoti Inn Near RDB Cinemas,1591,3.5,407,Good,NON WIZARD MEMBER,5129,"AI 87 Street No 23 Action Area 1 Newtown, Rajarhat",Kolkata
614,Collection O 14155 Tulsi Palace,1372,4.1,70,Very Good,NON WIZARD MEMBER,3919,", Kolkata",Kolkata
615,Flagship 13132 Shivaalay Inn,1411,3.7,521,Good,NON WIZARD MEMBER,4187,"AI - 34, Street No - 33, Tank No-3, Newtown Rajarhat",Kolkata
616,OYO Home Cozy Studio Collage Square Hotel Maya International Near St. Thomas's Church,1411,4.1,879,Very Good,WIZARD MEMBER,4187,Near city college Opp 68 Satsang Ashram Kolkata,Kolkata
617,Flagship Swapan Guest House Near City Centre Salt Lake,1411,4.0,423,Very Good,NON WIZARD MEMBER,4187,"Saltlake, Kolkata",Kolkata
618,OYO Flagship Hotel Om Shanti Palace Near Acropolis Mall,1411,4.0,77,Very Good,NON WIZARD MEMBER,4187,Kalikapur Spencer,Kolkata
619,Collection O Avenue Regency Near Kalighat Kali Temple,1411,4.3,318,Very Good,NON WIZARD MEMBER,4187,"Tollygunge, Kolkata",Kolkata
